mel77,mel80,mel65,mel72,mel63,mel52,mel87,mel76,birthplace
6.511162369317234e-05,4.50935569965052e-06,2.0930616897565e-06,1.2160839827369117e-06,0.0003627114951657,2.8366626441266533e-06,1.467653375787627e-06,8.051468736804523e-06,usa
6.682515940833099e-05,5.829216977769555e-06,3.7370395960356178e-06,2.8741257836600663e-06,0.0003651610309077,4.451297207735485e-06,3.285471069316948e-06,9.549721490059448e-06,usa
1.672784152969453e-07,3.140644142017448e-07,4.680260135156667e-05,3.1818112603041555e-06,2.812076625828481e-06,1.2784368356478672e-07,3.15390552604244e-08,1.2573658099073332e-05,usa
1.4895754535642175e-05,2.827677745652517e-05,7.989621041892022e-06,9.473428643763812e-06,5.114478671844471e-06,0.0001171276549383,8.184545904609654e-05,1.5001578826372025e-06,china
1.4879620442496283e-05,2.830512914959642e-05,8.040967611288954e-06,9.5371771837374e-06,5.111237022915155e-06,0.0001173918968274,8.193284089067944e-05,1.542637693111125e-06,china
8.198329183132649e-07,1.0496405362744443e-06,1.2322605372331769e-06,1.1556802690265197e-06,9.555703509836306e-07,9.0599758997511e-05,7.274309889335197e-05,8.175805893469346e-07,china
1.5369898424515174e-05,0.0003743784285059,1.0353031070304669e-05,1.957720528568423e-05,8.843817567711742e-06,9.632660671122756e-05,1.410162452383534e-05,7.809491811339816e-06,usa
1.5738241304202857e-05,0.0003738596243213,1.04738697955142e-05,1.999571088029937e-05,9.140718703249856e-06,9.669690268298856e-05,1.424212228291198e-05,8.379136596470387e-06,usa
1.3244886603655745e-06,1.960501547790229e-05,1.9621228618657478e-06,1.0970673001425805e-05,1.8675728471398163e-06,0.0001862473762651,4.4538258070319444e-07,4.5522283534694395e-08,usa
7.920828059436819e-06,5.170059425462051e-07,0.000133502753399,1.69651413552381e-05,1.9206797944856555e-06,3.023819327120152e-05,1.3457135746169724e-07,2.0971087204729185e-06,serbia
8.280693875124401e-06,8.275067766032055e-07,0.0001340089723571,1.724935066497343e-05,2.180654394120151e-06,3.0325657689782903e-05,4.042050576475812e-07,2.347993942615258e-06,serbia
9.493331922535032e-08,1.11114831959509e-07,2.744546588753356e-08,2.4653088297168893e-07,4.5826401575317024e-05,1.0095026780962738e-05,3.575062545594652e-08,6.905064634235015e-06,serbia
5.892274151310128e-05,3.651356086257496e-05,9.275471078643252e-06,0.0001231829831795,5.101914543793184e-05,7.743322944891771e-05,1.0727362585080003e-06,3.45001227125149e-05,senegal
5.892780001604585e-05,3.625487208812944e-05,9.68957573307279e-06,0.0001232113496986,5.168556179450812e-05,7.883854265091905e-05,1.5494410986914683e-06,3.545999204121266e-05,senegal
1.5624437948417746e-05,1.0408398525281903e-05,5.007335160943184e-06,1.4721052844851952e-05,1.5829631001954576e-05,1.671838425786512e-07,2.1771674353141985e-07,6.18800557525592e-05,senegal
7.283961305912174e-05,0.0001762805285467,4.66107345494029e-08,9.967042909418844e-06,3.060976172350677e-07,7.905556059875276e-06,4.984346660840788e-05,1.7313299297015943e-06,south korea
7.263483622792147e-05,0.0001758279360897,2.52912144590106e-07,1.018211776768115e-05,4.966355061520886e-07,8.02227887164815e-06,4.992760109460636e-05,1.9662581927556064e-06,south korea
1.429015854022115e-05,2.092003019104221e-06,3.326091158193544e-08,2.204509695574187e-07,6.72404990036618e-08,1.5753904778252607e-05,5.418794939936304e-05,2.365438416139877e-05,south korea
8.933882240984526e-06,0.000150230418983,1.113353435120766e-05,2.677749926385625e-05,3.125011684038249e-05,7.329615504614661e-05,9.012147274233832e-06,2.6289739953201338e-05,hungary
9.234028013872252e-06,0.0001500487913549,1.1582523847683573e-05,2.702497779025197e-05,3.117193219067414e-05,7.371845191819731e-05,9.125720024037314e-06,2.6842771981381497e-05,hungary
2.3557984226476925e-05,1.3059521537920936e-05,4.796843725793543e-06,2.768326156224028e-06,2.7395772734202337e-05,0.0001515420148188,2.9813332527316132e-05,1.1900256924184216e-05,hungary
8.17872281308536e-06,1.7605209104184094e-05,2.0447970074505143e-05,4.264326557375627e-05,0.0003705367149611,5.880271585873487e-06,4.168442038394916e-06,5.900910891515982e-05,usa
8.184467942149346e-06,1.761761674040524e-05,2.0452490539819858e-05,4.270507009607781e-05,0.0003704107551987,5.887401502694242e-06,4.165663113991008e-06,5.898282619801602e-05,usa
1.089453739037518e-05,1.156397099198886e-05,0.0001034613647837,8.87387119403408e-06,2.1763235516859305e-06,1.6808943459430388e-06,2.632582400309569e-06,1.9037242001641712e-05,usa
7.052757010115065e-07,6.781320397519742e-06,5.475834192253193e-07,5.65977917251087e-05,3.754325464473301e-06,2.5969763125888756e-05,1.4664044259075736e-05,4.422743502152518e-05,usa
1.0226432157311784e-06,7.070170215956617e-06,8.505300189379091e-07,5.646190587310013e-05,3.883455855912815e-06,2.619150849387011e-05,1.5047337744775342e-05,4.511649624894669e-05,usa
9.991993176181492e-06,6.698247353255508e-06,1.9315355190963003e-06,3.4431628733780297e-07,1.171338649862716e-07,1.948881900862211e-05,5.857199779762582e-06,2.547154914720158e-06,usa
